Filippino Word,English Word,Pronunciation,Example Context,Example English,Survival,Difficulty Level
Dice,Dice,Days,Roll mo ang dice.,Roll the dice.,,1
Didto,There (variant),Deed-toh,Nasa didto ang tindahan.,The store is over there.,,3
Diesel,Diesel,Dee-sel,Gamit nila ang diesel.,They use diesel.,,3
Diet,Diet,Dai-yet,Nasa diet ako ngayon.,I'm on a diet now.,,1
Diferente,Different,Dee-feh-ren-teh,Diferente ang kulay.,The color is different.,,3
Digmaan,War,Deeg-mah-an,Matagal ang digmaan.,The war was long.,,3
Dignidad,Dignity,Deeg-nee-dad,Panatilihin mo ang dignidad.,Maintain your dignity.,,3
Dignos,Diagnose,Deeg-nos,Dignos ng doktor ang sakit.,The doctor diagnosed the disease.,,3
Digo,Bathe (with water),Dee-goh,Digo mo ang aso.,Bathe the dog with water.,,1
Dihins,Not really,Dee-hins,Dihins maganda ang ulan.,The rain isn't really nice.,,3
Dikdikan,Pestle,Deek-dee-kan,Gamitin mo ang dikdikan.,Use the pestle.,,3
Dikit,Stick,Dee-kit,Dikit ang papel sa dingding.,The paper sticks to the wall.,,3
Diklap, Spark, dik-lap, May diklap ng apoy sa kandila., There is a spark of fire in the candle.,,3
Dikta,Dictate,Deek-tah,Dikta mo ang sagot.,Dictate the answer.,,3
Dikya, Jellyfish, dik-ya, Maraming dikya sa dagat., There are many jellyfish in the sea.,,3
Dila,Tongue,Dee-lah,Mahaba ang dila niya.,His tongue is long.,,1
Dilat,Open wide (eyes),Dee-lat,Dilat ang mata niya.,His eyes are wide open.,,3
Dildil,Lick,Deel-deel,Dildil mo ang ice cream.,Lick the ice cream.,,3
Dilim, Darkness, di-lim, Takot siya sa dilim., He is afraid of the dark.,,3
Dingding,Wall,Ding-ding,Nasa dingding ang larawan.,The picture is on the wall.,,3
Dinig, Hearing, di-nig, Mahina ang dinig niya., His hearing is weak.,,3
Dinosaur,Dinosaur,Dai-no-sor,Nasa museum ang dinosaur.,The dinosaur is in the museum.,,3
Dios,God,Dee-yos,Salamat sa Dios.,Thank God.,,1
Director,Director,Dee-rek-tor,Director ang tita ko.,My aunt is a director.,,3
Direksyon,Direction,Dee-rek-syon,Saan ang direksyon natin?,Where's our direction?,,3
Direkta,Direct,Dee-rek-tah,Direkta ang sagot niya.,His answer is direct.,,3
Diretso,Straight,di-ret-so,,,1.0,3
Diri,Disgust,Dee-ree,Nakakadiri ang basura.,The trash is disgusting.,,1
Disco,Disco,Dis-koh,Nasa disco ang party.,The party is at the disco.,,3
Discount,Discount,Dis-kawnt,May discount ang tindahan.,The store has a discount.,,3
Disease,Disease,Di-zeez,May disease ang lolo ko.,My grandpa has a disease.,,3
Diskarte,Strategy,Dis-kar-teh,Matibay ang diskarte niya.,His strategy is strong.,,3
Disko,Disko (variant),Dis-koh,Nasa disko ang sayawan.,The dance is at the disco.,,3
Diskwento,Discount,dis-kwen-to,,,1.0,3
Disorder,Disorder,Dis-or-der,May disorder ang bata.,The child has a disorder.,,3
Distansya,Distance,Dis-tan-syah,Malayo ang distansya.,The distance is far.,,3
Distrito,District,Dis-tree-toh,Nasa distrito ang opisina.,The office is in the district.,,3
Dito,Here,Dee-toh,Nandito ako dito.,I'm here.,,1
Dito-dito,Here and there,Dee-toh-dee-toh,Nasa dito-dito ang gamit.,The things are here and there.,,3
Diwa, Spirit, di-wa, Mahalaga ang diwa ng Pasko., The spirit of Christmas is important.,,1
Diyan,There,dee-yan,Diyan kami naglalaro tuwing hapon.,We play there every afternoon.,,3
Diyaryo,Newspaper,Dee-yar-yoh,Nasa mesa ang diyaryo.,The newspaper is on the table.,,3
Diyeta,Diet (variant),Dee-yeh-tah,Nasa diyeta si nanay.,Mom is on a diet.,,3
Diyos, God, di-yos, Nagpapasalamat siya sa Diyos., He is grateful to God.,,3
Doble, Double, do-ble, Doble ang bayad sa overtime., The payment for overtime is double.,,3
Doctor,Doctor,Dok-tor,Nasa ospital ang doctor.,The doctor is in the hospital.,,3
Documento,Document,Dok-yu-men-toh,Nasa folder ang documento.,The document is in the folder.,,3
Dog,Dog,Dog,Nasa labas ang dog.,The dog is outside.,,1
Doktor,Doctor,dok-tor,,,1.0,3
Dolar,Dollar,Doh-lar,Bumili ako ng dolar.,I bought dollars.,,3
Doll,Doll,Dol,Nasa kwarto ang doll.,The doll is in the room.,,1
Dolphin,Dolphin,Dol-fin,Nasa dagat ang dolphin.,The dolphin is in the sea.,,3
Domino,Domino,Do-mee-noh,Naglaro kami ng domino.,We played dominoes.,,3
Doon,There,Doh-on,Nandoon ang libro.,The book is there.,,1
Dopa,Guess,Doh-pah,Dopa mo ang sagot.,Guess the answer.,,1
Dormitory,Dormitory,Dor-mi-toh-ree,Nasa dormitory ang ate ko.,My sister is in the dormitory.,,3
Dose,Twelve,Doh-seh,Dose ang anak niya.,He has twelve children.,,1
Dosen,Dozen,Doh-sen,Bumili ako ng dosen itlog.,I bought a dozen eggs.,,3
Dote,Dowry,Doh-teh,May dote ang kasal.,The wedding has a dowry.,,1
Drama,Drama,Drah-mah,Nasa TV ang drama.,The drama is on TV.,,3
Drawing,Drawing,Dro-wing,Gumawa ako ng drawing.,I made a drawing.,,3
Dress,Dress,Dres,Suot ko ang dress.,I'm wearing a dress.,,3
Drink,Drink,Drink,Uminom ako ng drink.,I drank a drink.,,3
Drive,Drive,Drayv,Drive mo ang kotse.,Drive the car.,,3
Driver,Driver,Dray-ver,Driver ang tatay ko.,My dad is a driver.,,3
Drop,Drop,Drop,Drop mo ang bola.,Drop the ball.,,1
Drug,Drug,Drag,Huwag kang mag-drug.,Don't take drugs.,,1
Drum,Drum,Dram,Nasa banda ang drum.,The drum is in the band.,,1
Dry,Dry,Dray,Dry ang damit ko.,My clothes are dry.,,1
Dub,Dub,Dab,Dub mo ang video.,Dub the video.,,1
Dugo, Blood, du-go, Mabilis dumaloy ang dugo., The blood flows fast.,,1
Dugong,Dugong (sea cow),Doo-gong,Nasa dagat ang dugong.,The dugong is in the sea.,,3
Dukha, Poor, duk-ha, Tumulong siya sa mga dukha., He helped the poor.,,3
Dukot, Pocketing, du-kot, Dukutin mo ang pera sa bulsa., Take the money out of your pocket.,,3
Duktor,Doctor (variant),Dook-tor,Nasa klinik ang duktor.,The doctor is in the clinic.,,3
Dula,Play (theater),Doo-lah,Nasa dula ang kapatid ko.,My sibling is in the play.,,1
Dulang,Table (old term),Doo-lang,Nasa dulang ang pagkain.,The food is on the table.,,3
Dulas,Slippery,Doo-las,Dulas ang sahig.,The floor is slippery.,,3
Dulo, End, du-lo, Nasa dulo ng daan ang bahay niya., His house is at the end of the road.,,1
Dulya,Push,Dool-yah,Dulya mo ang pinto.,Push the door.,,3
Dumating, Arrived, du-ma-ting, Dumating siya sa tamang oras., He arrived on time.,,3
Dumi, Dirt, du-mi, Marumi ang sahig., The floor is dirty.,,1
Dumihan,Dirty,Doo-mee-han,Dumihan ang kamay ko.,My hands got dirty.,,3
Dumikit,Stick (verb),Doo-mee-kit,Dumikit ang sticker sa libro.,The sticker stuck to the book.,,3
Dumilim,Darken,Doo-mee-lim,Dumilim ang langit.,The sky darkened.,,3
Dunong,Knowledge,Doo-nong,Marami ang dunong niya.,He has a lot of knowledge.,,3
Dupang,Ragged,Doo-pang,Dupang ang damit niya.,His clothes are ragged.,,3
Dura,Spit,Doo-rah,Huwag kang magdura dito.,Don't spit here.,,1
Duro,Poke,Doo-roh,Duro mo ang lobo.,Poke the balloon.,,1
Duruan,Spittoon,Doo-roo-an,Nasa sulok ang duruan.,The spittoon is in the corner.,,3
Dusa,Suffering,Doo-sah,Matagal ang dusa niya.,His suffering was long.,,1
Duyan, Hammock, du-yan, Humiga siya sa duyan., He lay in the hammock.,,3
Dyaryo,Newspaper (variant),Dyar-yoh,Basahin mo ang dyaryo.,Read the newspaper.,,3
Dyip,Jeep,Dyeep,Sumakay ako sa dyip.,I rode the jeep.,,1
Dyosa,Goddess,Dyoh-sah,Maganda ang dyosa sa kwento.,The goddess in the story is beautiful.,,3
Eba,Eve,Eh-bah,Si Eba ang unang babae.,Eve was the first woman.,,1
Ebanghelyo,Gospel,Eh-bang-hel-yoh,Basahin mo ang ebanghelyo.,Read the gospel.,,3
Ebidensiyang,Evidential,Eh-bee-den-see-yang,Ebidensiyang ang dokumento.,The document is evidential.,,3
Ebidensya,Evidence,Eh-bee-den-syah,Nasa korte ang ebidensya.,The evidence is in court.,,3
Edad,Age,Eh-dad,Ilang taon ang edad mo?,How old are you?,,1
Edisyon,Edition,Eh-dis-yon,Bago ang edisyon ng libro.,The book's edition is new.,,3
Editor,Editor,Eh-di-tor,Editor ang tita ko.,My aunt is an editor.,,3
Edukado,Educated,Eh-doo-kah-doh,Edukado ang guro.,The teacher is educated.,,3
Edukadora,Educator (female),Eh-doo-kah-doh-rah,Edukadora ang nanay ko.,My mom is an educator.,,3
Edukasyon, Education, e-du-ka-syon, Mahalaga ang edukasyon sa buhay., Education is important in life.,,3
Edukasyunal,Educational,Eh-doo-kah-syoo-nal,Edukasyunal ang palabas.,The show is educational.,,3
Ehekutibo,Executive,Eh-heh-koo-tee-boh,Ehekutibo ang tatay ko.,My dad is an executive.,,3
Ehersisyo,Exercise,Eh-her-sis-yoh,Nag-ehersisyo ako tuwing umaga.,I exercise every morning.,,3
Ekonomiya, Economy, e-ko-no-mi-ya, Lumago ang ekonomiya ng bansa., The country's economy grew.,,3
Eksakto,Exact,Ek-sak-toh,Eksakto ang oras niya.,His time is exact.,,3
Eksaktong, Exact, eks-ak-tong, Eksaktong alas-diyes siya dumating., He arrived exactly at ten o'clock.,,3
Eksam,Exam,Ek-sam,Nasa eskwela ang eksam.,The exam is at school.,,3
Eksaminasyon,Examination,Ek-sah-mee-nah-syon,Nasa eksaminasyon ang klase.,The class is in examination.,,3
Eksena,Scene,Ek-seh-nah,Maganda ang eksena sa pelikula.,The scene in the movie is beautiful.,,3
Eksibisyon, Exhibition, eks-i-bi-syon, May eksibisyon ng sining sa museo., There is an art exhibition in the museum.,,3
Eksibit,Exhibit,Ek-see-bit,Nasa eksibit ang pintura.,The painting is in the exhibit.,,3
Eksklusibo, Exclusive, eks-klu-si-bo, Eksklusibo ang panayam sa kanya., The interview with him is exclusive.,,3
Eksorsismo,Exorcism,Ek-sor-sis-mo,Nabalitaan ko ang eksorsismo.,I heard about the exorcism.,,3
Eksotik,Exotic,Ek-so-tik,Eksotik ang hayop na ito.,This animal is exotic.,,3
Ekspedisyon, Expedition, eks-pe-di-syon, May bagong ekspedisyon sa bundok., There is a new expedition in the mountains.,,3
Eksperiensya,Experience,Ek-sper-yen-syah,Marami akong eksperiensya.,I have a lot of experience.,,3
Eksperimento,Experiment,Ek-sper-ee-men-toh,Gumawa kami ng eksperimento.,We did an experiment.,,3
Eksperto, Expert, eks-per-to, Eksperto siya sa larong ito., He is an expert in this game.,,3
Eksplorasyon, Exploration, eks-plo-ra-syon, Nagsagawa sila ng eksplorasyon sa dagat., They conducted an exploration in the sea.,,3
Ekspo,Expo,Ek-spoh,Nasa ekspo ang produkto.,The product is at the expo.,,3
Eksport,Export,Ek-sport,Nag-eksport sila ng bigas.,They exported rice.,,3
Eksportasyon,Exportation,Ek-spor-tah-syon,Nag-eksportasyon sila ng prutas.,They exported fruits.,,3
Ekspresyon, Expression, eks-pres-yon, Ang kanyang ekspresyon ay masaya., His expression is happy.,,3
Ekstendsyon,Extension,Ek-sten-syon,May ekstendsyon ang proyekto.,The project has an extension.,,3
Eksterno,External,Ek-ster-noh,Eksterno ang problema.,The problem is external.,,3
Ekstra,Extra,Ek-strah,May ekstra akong pera.,I have extra money.,,3
Ekstrang,Spare,Ek-strang,Ekstrang ang gulong.,The tire is spare.,,3
Ekwador,Equator,Ek-wah-dor,Malayo ang Ekwador.,The equator is far.,,3
Elastik,Elastic,Eh-las-tik,Elastik ang damit.,The clothes are elastic.,,3
Elbow,Elbow,El-bow,Masakit ang elbow ko.,My elbow hurts.,,3
Eleksiyon,Election,Eh-lek-syon,Nasa eleksiyon ang boto.,The vote is in the election.,,3
Elektrik,Electric,Eh-lek-treek,Elektrik ang ilaw.,The light is electric.,,3
Elektripikasyon,Electrification,Eh-lek-tree-pee-kah-syon,Nasa plano ang elektripikasyon.,Electrification is in the plan.,,3
Elektrisidad,Electricity,Eh-lek-tree-see-dad,Walang elektrisidad ngayon.,There's no electricity now.,,3
Elektrisyan,Electrician,Eh-lek-tree-syan,Elektrisyan ang kapatid ko.,My sibling is an electrician.,,3
Elektron,Electron,Eh-lek-tron,Aralin mo ang elektron.,Study the electron.,,3
Elektronik,Electronic,Eh-lek-tro-nik,Elektronik ang laruan.,The toy is electronic.,,3
Elektroniks,Electronics,Eh-lek-tro-niks,Nasa tindahan ang elektroniks.,The electronics are in the store.,,3
Elementarya,Elementary,Eh-leh-men-tar-yah,Nasa elementarya ang bata.,The child is in elementary school.,,3
Elemento, Element, e-le-men-to, Mahalaga ang tubig bilang elemento., Water is an important element.,,3
Elevator,Elevator,Eh-leh-vey-tor,Nasa elevator kami.,We're in the elevator.,,3
Elisi,Scissors (variant),Eh-lee-see,Gamitin mo ang elisi.,Use the scissors.,,3
Email,Email,Ee-meyl,Padalhan mo ako ng email.,Send me an email.,,3
Embahada, Embassy, em-ba-ha-da, Pumunta siya sa embahada ng Pilipinas., He went to the Philippine embassy.,,3
Embalsamador,Embalmer,em-bal-sa-ma-dor,Ang embalsamador ang nag-aasikaso ng katawan bago ilibing.,The embalmer prepares the body before burial.,,3
Embassy,Embassy,Em-bah-see,Nasa embassy ang pasaporte.,The passport is at the embassy.,,3
Emerald,Emerald,Eh-meh-rald,Verde ang emerald.,The emerald is green.,,3
Emerhensiya,Emergency,Eh-mer-hen-see-yah,May emerhensiya sa bahay.,There's an emergency at home.,,3
Emerhensiyang,Emergency (adj),Eh-mer-hen-see-yang,Emerhensiyang ang tawag.,The call is emergency.,,3
Emosyon,Emotion,Eh-mo-syon,Maraming emosyon ang pelikula.,The movie has a lot of emotion.,,3
Empake,Packing,Em-pah-keh,Nag-empake ako ng damit.,I packed clothes.,,3
Emperador,Emperor,Em-peh-rah-dor,Emperador ang pinuno noon.,The leader then was an emperor.,,3
Empirikal,Empirical,Em-pee-ree-kal,Empirikal ang datos.,The data is empirical.,,3
Empleyado, Employee, em-ple-ya-do, Masipag ang empleyado sa opisina., The employee is hardworking in the office.,,3
Empleyo,Employment,Em-pleh-yoh,Nasa empleyo si tatay.,Dad is in employment.,,3
Enabes,Envy,Eh-nah-bes,Huwag kang mag-enabes.,Don't be envious.,,3
Encyclopedia,Encyclopedia,En-sai-klo-pee-dee-yah,Nasa library ang encyclopedia.,The encyclopedia is in the library.,,3
Endorsement,Endorsement,En-dors-ment,May endorsement ang produkto.,The product has an endorsement.,,3
Enemy,Enemy,Eh-neh-mee,Sino ang enemy mo?,Who's your enemy?,,3
Enerhiya, Energy, e-ner-hi-ya, Kailangan natin ng sapat na enerhiya., We need enough energy.,,3
Engganyo,Entice,Eng-gan-yoh,Engganyo mo ang bata.,Entice the child.,,3
Enggrandeng,Grand,Eng-gran-deng,Enggrandeng ang bahay.,The house is grand.,,3
Engine,Engine,En-jin,Nasa kotse ang engine.,The engine is in the car.,,3
Engineer,Engineer,En-ji-neer,Engineer ang tito ko.,My uncle is an engineer.,,3
Engkanto,Enchanted being,Eng-kan-toh,Nasa gubat ang engkanto.,The enchanted being is in the forest.,,3
Englis,English,Eng-lis,Nagsalita siya ng Englis.,He spoke English.,,3
Enjoy,Enjoy,En-joy,Nag-enjoy kami sa party.,We enjoyed the party.,,3
Enoh,Hiccup,Eh-noh,Nag-enoh siya kanina.,He hiccuped earlier.,,1
Ensalada,Salad,En-sah-lah-dah,Gusto ko ng ensalada.,I want salad.,,3
Ensaladang talong,Eggplant salad,En-sah-lah-dang tah-long,Ginamit niya ang ensaladang talong.,He used eggplant salad.,,3
Ensayo, Practice, en-sa-yo, Nag-eensayo sila para sa kompetisyon., They are practicing for the competition.,,3
Entablado,Stage,En-tah-blah-doh,Nasa entablado ang dula.,The play is on the stage.,,3
Enteng,Light (weight),En-teng,Enteng ang bag ko.,My bag is light.,,3
Entomolohiya,Entomology,En-toh-mo-loh-hee-yah,Aralin mo ang entomolohiya.,Study entomology.,,3
Entrada,Entrance (variant),En-trah-dah,Nasa entrada ang tiket.,The ticket is at the entrance.,,3
Entrance,Entrance,En-trans,Nasa entrance ang guwardiya.,The guard is at the entrance.,,3
Entrega,Delivery,En-treh-gah,Nasa pintuan ang entrega.,The delivery is at the door.,,3
Entrepreneur,Entrepreneur,En-tre-pre-noor,Entrepreneur ang nanay ko.,My mom is an entrepreneur.,,3
Envelope,Envelope,En-ve-lop,Nasa envelope ang sulat.,The letter is in the envelope.,,3
Epekto, Effect, e-pek-to, May epekto ang gamot na ito., This medicine has an effect.,,3
Epiko, Epic, e-pi-ko, Binasa namin ang isang epiko sa klase., We read an epic in class.,,3
Episode,Episode,Eh-pee-sod,Nasa TV ang episode.,The episode is on TV.,,3
Epok, Era, e-pok, Ang epok na ito ay puno ng pagbabago., This era is full of changes.,,1
Equal,Equal,Ee-kwal,Equal ang puntos natin.,Our points are equal.,,3
Eraser,Eraser,Eh-rey-ser,Nasa mesa ang eraser.,The eraser is on the table.,,3
Ermitanyo, Hermit, er-mi-tan-yo, Nakatira ang ermitanyo sa bundok., The hermit lives in the mountains.,,3
Eroplano, Airplane, e-ro-pla-no, Lumipad ang eroplano sa himpapawid., The airplane flew in the sky.,1.0,3
Error,Error,Eh-ror,May error ang sagot.,There's an error in the answer.,,3
Eskalera,Staircase,Es-kah-leh-rah,Nasa eskalera ang bata.,The child is on the staircase.,,3
Eskandalo, Scandal, es-kan-da-lo, Malaking eskandalo ang nangyari kahapon., A big scandal happened yesterday.,,3
Eskandaloso,Scandalous,Es-kan-dah-loh-soh,Eskandaloso ang balita.,The news is scandalous.,,3
Eskina,Corner (street),Es-kee-nah,Nasa eskina ang tindahan.,The store is at the corner.,,3
Eskoba,Broom,Es-ko-bah,Gamitin mo ang eskoba.,Use the broom.,,3
Eskolar,Scholar,Es-ko-lar,Eskolar ang kapatid ko.,My sibling is a scholar.,,3
Eskriba,Scribe,Es-kree-bah,Eskriba ang lolo ko noon.,My grandpa was a scribe back then.,,3
Eskrim,Fence,Es-kreem,Mataas ang eskrim sa bahay.,The fence at the house is high.,,3
Eskrin,Screen,Es-kreen,Nasa eskrin ang pelikula.,The movie is on the screen.,,3
Eskultura, Sculpture, es-kul-tu-ra, Ang eskultura ay gawa sa kahoy., The sculpture is made of wood.,,3
Eskuwela,School,Es-kweh-lah,Nasa eskuwela ang anak ko.,My child is at school.,,2
Eskwela, School, es-kwe-la, Araw-araw siyang pumapasok sa eskwela., He goes to school every day.,,2
Espada, Sword, es-pa-da, Gamit niya ang espada sa laban., He uses a sword in the battle.,,3
Espasyo,Space,Es-pas-yoh,Malaki ang espasyo dito.,The space here is big.,,3
Espeho,Mirror,Es-peh-hoh,Nasa banyo ang espeho.,The mirror is in the bathroom.,,3
Espesyal, Special, es-pe-syal, Espesyal ang araw na ito para sa akin., This day is special for me.,,3
Espiritu,Spirit,Es-pee-ree-too,Malakas ang espiritu niya.,His spirit is strong.,,3
Espiritwal,Spiritual,Es-pee-reet-wal,Espiritwal ang dasal.,The prayer is spiritual.,,3
Espongha,Sponge,Es-pon-hah,Gamitin mo ang espongha.,Use the sponge.,,3
Estadyum,Stadium,Es-tad-yum,Nasa estadyum ang laro.,The game is in the stadium.,,3
Estante,Shelf,Es-tan-teh,Nasa estante ang libro.,The book is on the shelf.,,3
Estasyon,Station,Es-tas-yon,Nasa estasyon ang tren.,The train is at the station.,,3
Estasyon-wagon,Station wagon,Es-tas-yon-wah-gon,Nasa garahe ang estasyon-wagon.,The station wagon is in the garage.,,3
Estimasyon,Estimation,Es-tee-mah-syon,Ano ang estimasyon mo?,What's your estimation?,,3
Estino,Stubborn,Es-tee-noh,Estino ang kapatid ko.,My sibling is stubborn.,,3
Estopado,Stewed meat,Es-toh-pah-doh,Gusto ko ng estopado.,I want stewed meat.,,3
Estorya,Story,Es-tor-yah,Maganda ang estorya niya.,His story is nice.,,3
Estranghero, Stranger, es-trang-he-ro, May estrangherong dumaan sa kalsada., A stranger passed by the street.,,3
Estratehiya, Strategy, es-tra-te-hi-ya, Kailangan ng matibay na estratehiya., A strong strategy is needed.,,3
Estrikto,Strict,Es-treek-toh,Estrikto ang guro ko.,My teacher is strict.,,3
Estudiante,Student (variant),Es-too-dee-yan-teh,Estudiante si Juan.,Juan is a student.,,3
Estudyante, Student, es-tu-dyan-te, Masipag mag-aral ang estudyante., The student studies diligently.,,3
Etika, Ethics, e-ti-ka, Mahalaga ang etika sa trabaho., Ethics are important in work.,,3
Etyolohiya, Etymology, e-tyo-lo-hi-ya, Pinag-aralan namin ang etyolohiya ng salita., We studied the etymology of the word.,,3
Fabrika, Factory, fab-ri-ka, Nagtatrabaho siya sa isang fabrika., He works in a factory.,,3
Familia, Family, fa-mi-lya, Mahalaga ang familia sa buhay., Family is important in life.,,3
Famous, Famous, fa-mos, Sikat siya dahil famous ang kanyang kanta., He is popular because his song is famous.,,3
Fan, Fan, fan, Binuksan niya ang fan dahil mainit., He turned on the fan because it's hot.,,1
Fantasia, Fantasy, fan-ta-sya, Gusto niyang mabuhay sa isang fantasia., He wants to live in a fantasy.,,3
Farm, Farm, farm, May malaking farm ang kanyang pamilya., His family owns a large farm.,,1
Farmacia, Pharmacy, far-ma-sya, Bumili siya ng gamot sa farmacia., He bought medicine at the pharmacy.,,3
Farmer, Farmer, far-mer, Masipag ang farmer sa bukid., The farmer is hardworking in the field.,,3
Federasyon,Federation,fe-de-ra-syon,Kasapi siya ng isang federasyon.,He is a member of a federation.,,3
Felicidad, Happiness, fe-li-si-dad, Ang tunay na felicidad ay nasa pamilya., True happiness is with family.,,3
Feria, Fair, fe-ri-a, Pumunta kami sa feria kagabi., We went to the fair last night.,,3
Feroz, Fierce, fe-roz, Feroz ang leon sa gubat., The lion in the jungle is fierce.,,3
Fertilizer,Fertilizer,fer-ti-li-zer,Gumagamit sila ng fertilizer sa bukid.,They use fertilizer on the farm.,,3
Fiesta, Festival, fies-ta, Masaya ang fiesta sa aming bayan., The festival in our town is fun.,,3
File,File,fi-le,Itago mo ang file sa isang ligtas na lugar.,Keep the file in a safe place.,,1
Filipino, Filipino, fi-li-pi-no, Ako ay isang Filipino., I am a Filipino.,,3
Fin, End, fin, Malapit na ang fin ng pelikula., The movie is about to end.,,1
Final, Final, fi-nal, Malapit na ang final exam., The final exam is near.,,3
Firma, Signature, fir-ma, Ilagay mo ang firma mo sa papel., Put your signature on the paper.,,3
Flor, Flower, flor, Maganda ang flor sa hardin., The flower in the garden is beautiful.,,1
Florera,Flower Vase,flo-re-ra,Nasa mesa ang florera na may bulaklak.,The flower vase with flowers is on the table.,,3
Fondo, Fund, fon-do, May sapat siyang fondo para sa negosyo., He has enough funds for the business.,,3
Forma, Form, for-ma, Punan mo ang forma bago ipasa., Fill out the form before submitting it.,,3
Fortaleza, Strength, for-ta-le-za, Malakas ang kanyang fortaleza., His strength is great.,,3
Franco, Frank, fran-ko, Maging franco ka sa pagsasalita., Be frank in speaking.,,3
Frasco, Bottle, fras-ko, May laman na tubig ang frasco., The bottle contains water.,,3
Fresco, Fresh, fres-ko, Masarap ang fresco na prutas., The fresh fruit is delicious.,,3
Frutas,Fruits,fru-tas,Masustansya ang pagkain ng frutas.,Eating fruits is nutritious.,,3
Fuego, Fire, fue-go, May fuego sa bundok., There is a fire in the mountain.,,3
Fuente, Fountain, fuen-te, Maganda ang fuente sa plaza., The fountain in the plaza is beautiful.,,3
Fuerte, Strong, fuer-te, Fuerte ang kanyang pangangatawan., His body is strong.,,3
Fundamento, Foundation, fun-da-men-to, Malakas ang fundamento ng bahay nila., The foundation of their house is strong.,,3
Futbol, Football, fut-bol, Mahilig siya sa futbol., He loves football.,,3
Futuro, Future, fu-tu-ro, Mahalaga ang edukasyon para sa futuro., Education is important for the future.,,3
Gabi, Night, ga-bi, Tahimik ang gabi sa probinsya., The night is quiet in the province.,,1
Galing, Skill, ga-ling, Ipinakita niya ang kanyang galing sa sayaw., He showed his skill in dancing.,,3
Galit,Angry,ga-lit,,,1.0,2
Gamit, Thing, ga-mit, Ingatan ang gamit mo., Take care of your things.,,3
Gamitin, Use, ga-mi-tin, Dapat gamitin nang tama ang mga kasangkapan., Tools should be used properly.,,3
Gatas, Milk, ga-tas, Umiinom siya ng gatas tuwing umaga., He drinks milk every morning.,1.0,3
Gatasan, Dairy farm, ga-ta-san, Pumunta kami sa gatasan kahapon., We went to the dairy farm yesterday.,,3
Gawa, Work, ga-wa, Maraming gawa sa opisina ngayon., There is a lot of work in the office today.,,1
Ginto, Gold, gin-to, Ang singsing niya ay gawa sa ginto., His ring is made of gold.,,3
Gising, Awake, gi-sing, Gising na siya bago sumikat ang araw., He is awake before the sun rises.,1.0,3
Gisingin, Wake up, gi-si-ngin, Gisingin mo ako ng maaga bukas., Wake me up early tomorrow.,,3
Gitna, Middle, git-na, Nasa gitna ng mesa ang libro., The book is in the middle of the table.,,3
Guhit, Line/Drawing, gu-hit, Gumuhit siya ng magandang larawan., He drew a beautiful picture.,,3
Gulay, Vegetables, gu-lay,,,1.0,3
Gumagalaw, Moving, gu-ma-ga-law, Gumagalaw ang ulap sa langit., The clouds are moving in the sky.,,3
Gumagana, Working, gu-ma-ga-na, Gumagana nang maayos ang telepono ko., My phone is working properly.,,2
Gumamit, Use, gu-ma-mit, Gumamit siya ng lapis sa pagsusulat., He used a pencil for writing.,,3
Gumawa, Create, gu-ma-wa, Gumawa siya ng magandang kanta., He created a beautiful song.,,3
Gumising, Wake up, gu-mi-sing, Gumising siya ng maaga., He woke up early.,,3
Gumuhit, Draw, gu-mu-hit, Gumuhit siya ng magandang tanawin., He drew a beautiful scenery.,,3
Gumulong, Roll, gu-mu-long, Gumulong ang bola sa sahig., The ball rolled on the floor.,,3
Gupit, Haircut, gu-pit, Nagpagupit siya kahapon., He got a haircut yesterday.,,3
Gupitin, Cut, gu-pi-tin, Gupitin mo ang papel sa tamang sukat., Cut the paper to the correct size.,,3
Guro, Teacher, gu-ro,,,1.0,1
Gusali, Building, gu-sa-li, Malaki ang gusali sa lungsod., The building in the city is big.,,3
Gutom,Hunger,gu-tom, Nakaramdam siya ng gutom pagkatapos magtrabaho., He felt hungry after working.,1.0,3
Habang, While, ha-bang, Habang kumakain -  nanonood kami ng TV., While eating - we watched TV.,,3
Hagdan, Stairs, hag-dan, Umakyat siya sa hagdan., He climbed the stairs.,,3
Hagis, Throw, ha-gis, Huwag mong ihagis ang bola sa loob ng bahay., Don't throw the ball inside the house.,,3
Halaman, Plant, ha-la-man, Maraming halaman sa hardin., There are many plants in the garden.,,3
Halik, Kiss, ha-lik, Binigyan siya ng halik ng kanyang ina., His mother gave him a kiss.,,3
Hamon, Challenge, ha-mon, Tinanggap niya ang hamon ng laro., He accepted the challenge of the game.,,3
Hampas, Hit, ham-pas, Huwag mong hampasin ang mesa., Don't hit the table.,,3
Handa, Ready, han-da, Handa na akong umalis., I am ready to leave.,,3
Hangin, Wind, ha-ngin, Malakas ang hangin sa tabing-dagat., The wind is strong by the shore.,,3
Hapon, Afternoon, ha-pon, Magkita tayo mamayang hapon., Let's meet this afternoon.,,3
Hapunan, Dinner, ha-pu-nan, Masarap ang hapunan namin., Our dinner was delicious.,,3
Harap, Front, ha-rap,,,1.0,3
Hati, Half, ha-ti, Hinati niya ang tinapay sa dalawa., He divided the bread into two.,,1
Hatinggabi, Midnight, ha-ting-ga-bi, Natulog siya bago maghatinggabi., He slept before midnight.,,3
Hawak, Hold, ha-wak, Hawakan mong mabuti ang bag mo., Hold your bag tightly.,1.0,3
