Filippino Word,English Word,Pronunciation,Example Context,Example English,Survival
Diskwento,Discount,dis-kwen-to,,,1
Disorder,Disorder,Dis-or-der,May disorder ang bata.,The child has a disorder.,
Distansya,Distance,Dis-tan-syah,Malayo ang distansya.,The distance is far.,
Distrito,District,Dis-tree-toh,Nasa distrito ang opisina.,The office is in the district.,
Dito,Here,Dee-toh,Nandito ako dito.,I'm here.,
Dito-dito,Here and there,Dee-toh-dee-toh,Nasa dito-dito ang gamit.,The things are here and there.,
Diwa, Spirit, di-wa, Mahalaga ang diwa ng Pasko., The spirit of Christmas is important.,
Diyan,There,dee-yan,Diyan kami naglalaro tuwing hapon.,We play there every afternoon.,
Diyaryo,Newspaper,Dee-yar-yoh,Nasa mesa ang diyaryo.,The newspaper is on the table.,
Diyeta,Diet (variant),Dee-yeh-tah,Nasa diyeta si nanay.,Mom is on a diet.,
Diyos, God, di-yos, Nagpapasalamat siya sa Diyos., He is grateful to God.,
Doble, Double, do-ble, Doble ang bayad sa overtime., The payment for overtime is double.,
Doctor,Doctor,Dok-tor,Nasa ospital ang doctor.,The doctor is in the hospital.,
Documento,Document,Dok-yu-men-toh,Nasa folder ang documento.,The document is in the folder.,
Dog,Dog,Dog,Nasa labas ang dog.,The dog is outside.,
Doktor,Doctor,dok-tor,,,1
Dolar,Dollar,Doh-lar,Bumili ako ng dolar.,I bought dollars.,
Doll,Doll,Dol,Nasa kwarto ang doll.,The doll is in the room.,
Dolphin,Dolphin,Dol-fin,Nasa dagat ang dolphin.,The dolphin is in the sea.,
Domino,Domino,Do-mee-noh,Naglaro kami ng domino.,We played dominoes.,
Doon,There,Doh-on,Nandoon ang libro.,The book is there.,
Dopa,Guess,Doh-pah,Dopa mo ang sagot.,Guess the answer.,
Dormitory,Dormitory,Dor-mi-toh-ree,Nasa dormitory ang ate ko.,My sister is in the dormitory.,
Dose,Twelve,Doh-seh,Dose ang anak niya.,He has twelve children.,
Dosen,Dozen,Doh-sen,Bumili ako ng dosen itlog.,I bought a dozen eggs.,
Dote,Dowry,Doh-teh,May dote ang kasal.,The wedding has a dowry.,
Drama,Drama,Drah-mah,Nasa TV ang drama.,The drama is on TV.,
Drawing,Drawing,Dro-wing,Gumawa ako ng drawing.,I made a drawing.,
Dress,Dress,Dres,Suot ko ang dress.,I'm wearing a dress.,
Drink,Drink,Drink,Uminom ako ng drink.,I drank a drink.,
Drive,Drive,Drayv,Drive mo ang kotse.,Drive the car.,
Driver,Driver,Dray-ver,Driver ang tatay ko.,My dad is a driver.,
Drop,Drop,Drop,Drop mo ang bola.,Drop the ball.,
Drug,Drug,Drag,Huwag kang mag-drug.,Don't take drugs.,
Drum,Drum,Dram,Nasa banda ang drum.,The drum is in the band.,
Dry,Dry,Dray,Dry ang damit ko.,My clothes are dry.,
Dub,Dub,Dab,Dub mo ang video.,Dub the video.,
Dugo, Blood, du-go, Mabilis dumaloy ang dugo., The blood flows fast.,
Dugong,Dugong (sea cow),Doo-gong,Nasa dagat ang dugong.,The dugong is in the sea.,
Dukha, Poor, duk-ha, Tumulong siya sa mga dukha., He helped the poor.,
Dukot, Pocketing, du-kot, Dukutin mo ang pera sa bulsa., Take the money out of your pocket.,
Duktor,Doctor (variant),Dook-tor,Nasa klinik ang duktor.,The doctor is in the clinic.,
Dula,Play (theater),Doo-lah,Nasa dula ang kapatid ko.,My sibling is in the play.,
Dulang,Table (old term),Doo-lang,Nasa dulang ang pagkain.,The food is on the table.,
Dulas,Slippery,Doo-las,Dulas ang sahig.,The floor is slippery.,
Dulo, End, du-lo, Nasa dulo ng daan ang bahay niya., His house is at the end of the road.,
Dulya,Push,Dool-yah,Dulya mo ang pinto.,Push the door.,
Dumating, Arrived, du-ma-ting, Dumating siya sa tamang oras., He arrived on time.,
Dumi, Dirt, du-mi, Marumi ang sahig., The floor is dirty.,
Dumihan,Dirty,Doo-mee-han,Dumihan ang kamay ko.,My hands got dirty.,
Dumikit,Stick (verb),Doo-mee-kit,Dumikit ang sticker sa libro.,The sticker stuck to the book.,
Dumilim,Darken,Doo-mee-lim,Dumilim ang langit.,The sky darkened.,
Dunong,Knowledge,Doo-nong,Marami ang dunong niya.,He has a lot of knowledge.,
Dupang,Ragged,Doo-pang,Dupang ang damit niya.,His clothes are ragged.,
Dura,Spit,Doo-rah,Huwag kang magdura dito.,Don't spit here.,
Duro,Poke,Doo-roh,Duro mo ang lobo.,Poke the balloon.,
Duruan,Spittoon,Doo-roo-an,Nasa sulok ang duruan.,The spittoon is in the corner.,
Dusa,Suffering,Doo-sah,Matagal ang dusa niya.,His suffering was long.,
Duyan, Hammock, du-yan, Humiga siya sa duyan., He lay in the hammock.,
Dyaryo,Newspaper (variant),Dyar-yoh,Basahin mo ang dyaryo.,Read the newspaper.,
Dyip,Jeep,Dyeep,Sumakay ako sa dyip.,I rode the jeep.,
Dyosa,Goddess,Dyoh-sah,Maganda ang dyosa sa kwento.,The goddess in the story is beautiful.,
Eba,Eve,Eh-bah,Si Eba ang unang babae.,Eve was the first woman.,
Ebanghelyo,Gospel,Eh-bang-hel-yoh,Basahin mo ang ebanghelyo.,Read the gospel.,
Ebidensiyang,Evidential,Eh-bee-den-see-yang,Ebidensiyang ang dokumento.,The document is evidential.,
Ebidensya,Evidence,Eh-bee-den-syah,Nasa korte ang ebidensya.,The evidence is in court.,
Edad,Age,Eh-dad,Ilang taon ang edad mo?,How old are you?,
Edisyon,Edition,Eh-dis-yon,Bago ang edisyon ng libro.,The book's edition is new.,
Editor,Editor,Eh-di-tor,Editor ang tita ko.,My aunt is an editor.,
Edukado,Educated,Eh-doo-kah-doh,Edukado ang guro.,The teacher is educated.,
Edukadora,Educator (female),Eh-doo-kah-doh-rah,Edukadora ang nanay ko.,My mom is an educator.,
Edukasyon, Education, e-du-ka-syon, Mahalaga ang edukasyon sa buhay., Education is important in life.,
Edukasyunal,Educational,Eh-doo-kah-syoo-nal,Edukasyunal ang palabas.,The show is educational.,
Ehekutibo,Executive,Eh-heh-koo-tee-boh,Ehekutibo ang tatay ko.,My dad is an executive.,
Ehersisyo,Exercise,Eh-her-sis-yoh,Nag-ehersisyo ako tuwing umaga.,I exercise every morning.,
Ekonomiya, Economy, e-ko-no-mi-ya, Lumago ang ekonomiya ng bansa., The country's economy grew.,
Eksakto,Exact,Ek-sak-toh,Eksakto ang oras niya.,His time is exact.,
Eksaktong, Exact, eks-ak-tong, Eksaktong alas-diyes siya dumating., He arrived exactly at ten o'clock.,
Eksam,Exam,Ek-sam,Nasa eskwela ang eksam.,The exam is at school.,
Eksaminasyon,Examination,Ek-sah-mee-nah-syon,Nasa eksaminasyon ang klase.,The class is in examination.,
Eksena,Scene,Ek-seh-nah,Maganda ang eksena sa pelikula.,The scene in the movie is beautiful.,
Eksibisyon, Exhibition, eks-i-bi-syon, May eksibisyon ng sining sa museo., There is an art exhibition in the museum.,
Eksibit,Exhibit,Ek-see-bit,Nasa eksibit ang pintura.,The painting is in the exhibit.,
Eksklusibo, Exclusive, eks-klu-si-bo, Eksklusibo ang panayam sa kanya., The interview with him is exclusive.,
Eksorsismo,Exorcism,Ek-sor-sis-mo,Nabalitaan ko ang eksorsismo.,I heard about the exorcism.,
Eksotik,Exotic,Ek-so-tik,Eksotik ang hayop na ito.,This animal is exotic.,
Ekspedisyon, Expedition, eks-pe-di-syon, May bagong ekspedisyon sa bundok., There is a new expedition in the mountains.,
Eksperiensya,Experience,Ek-sper-yen-syah,Marami akong eksperiensya.,I have a lot of experience.,
Eksperimento,Experiment,Ek-sper-ee-men-toh,Gumawa kami ng eksperimento.,We did an experiment.,
Eksperto, Expert, eks-per-to, Eksperto siya sa larong ito., He is an expert in this game.,
Eksplorasyon, Exploration, eks-plo-ra-syon, Nagsagawa sila ng eksplorasyon sa dagat., They conducted an exploration in the sea.,
Ekspo,Expo,Ek-spoh,Nasa ekspo ang produkto.,The product is at the expo.,
Eksport,Export,Ek-sport,Nag-eksport sila ng bigas.,They exported rice.,
Eksportasyon,Exportation,Ek-spor-tah-syon,Nag-eksportasyon sila ng prutas.,They exported fruits.,
Ekspresyon, Expression, eks-pres-yon, Ang kanyang ekspresyon ay masaya., His expression is happy.,
Ekstendsyon,Extension,Ek-sten-syon,May ekstendsyon ang proyekto.,The project has an extension.,
Eksterno,External,Ek-ster-noh,Eksterno ang problema.,The problem is external.,
Ekstra,Extra,Ek-strah,May ekstra akong pera.,I have extra money.,
Ekstrang,Spare,Ek-strang,Ekstrang ang gulong.,The tire is spare.,
Ekwador,Equator,Ek-wah-dor,Malayo ang Ekwador.,The equator is far.,
Elastik,Elastic,Eh-las-tik,Elastik ang damit.,The clothes are elastic.,
Elbow,Elbow,El-bow,Masakit ang elbow ko.,My elbow hurts.,
Eleksiyon,Election,Eh-lek-syon,Nasa eleksiyon ang boto.,The vote is in the election.,
Elektrik,Electric,Eh-lek-treek,Elektrik ang ilaw.,The light is electric.,
Elektripikasyon,Electrification,Eh-lek-tree-pee-kah-syon,Nasa plano ang elektripikasyon.,Electrification is in the plan.,
Elektrisidad,Electricity,Eh-lek-tree-see-dad,Walang elektrisidad ngayon.,There's no electricity now.,
Elektrisyan,Electrician,Eh-lek-tree-syan,Elektrisyan ang kapatid ko.,My sibling is an electrician.,
Elektron,Electron,Eh-lek-tron,Aralin mo ang elektron.,Study the electron.,
Elektronik,Electronic,Eh-lek-tro-nik,Elektronik ang laruan.,The toy is electronic.,
Elektroniks,Electronics,Eh-lek-tro-niks,Nasa tindahan ang elektroniks.,The electronics are in the store.,
Elementarya,Elementary,Eh-leh-men-tar-yah,Nasa elementarya ang bata.,The child is in elementary school.,
Elemento, Element, e-le-men-to, Mahalaga ang tubig bilang elemento., Water is an important element.,
Elevator,Elevator,Eh-leh-vey-tor,Nasa elevator kami.,We're in the elevator.,
Elisi,Scissors (variant),Eh-lee-see,Gamitin mo ang elisi.,Use the scissors.,
Email,Email,Ee-meyl,Padalhan mo ako ng email.,Send me an email.,
Embahada, Embassy, em-ba-ha-da, Pumunta siya sa embahada ng Pilipinas., He went to the Philippine embassy.,
Embalsamador,Embalmer,em-bal-sa-ma-dor,Ang embalsamador ang nag-aasikaso ng katawan bago ilibing.,The embalmer prepares the body before burial.,
Embassy,Embassy,Em-bah-see,Nasa embassy ang pasaporte.,The passport is at the embassy.,
Emerald,Emerald,Eh-meh-rald,Verde ang emerald.,The emerald is green.,
Emerhensiya,Emergency,Eh-mer-hen-see-yah,May emerhensiya sa bahay.,There's an emergency at home.,
Emerhensiyang,Emergency (adj),Eh-mer-hen-see-yang,Emerhensiyang ang tawag.,The call is emergency.,
Emosyon,Emotion,Eh-mo-syon,Maraming emosyon ang pelikula.,The movie has a lot of emotion.,
Empake,Packing,Em-pah-keh,Nag-empake ako ng damit.,I packed clothes.,
Emperador,Emperor,Em-peh-rah-dor,Emperador ang pinuno noon.,The leader then was an emperor.,
Empirikal,Empirical,Em-pee-ree-kal,Empirikal ang datos.,The data is empirical.,
Empleyado, Employee, em-ple-ya-do, Masipag ang empleyado sa opisina., The employee is hardworking in the office.,
Empleyo,Employment,Em-pleh-yoh,Nasa empleyo si tatay.,Dad is in employment.,
Enabes,Envy,Eh-nah-bes,Huwag kang mag-enabes.,Don't be envious.,
Encyclopedia,Encyclopedia,En-sai-klo-pee-dee-yah,Nasa library ang encyclopedia.,The encyclopedia is in the library.,
Endorsement,Endorsement,En-dors-ment,May endorsement ang produkto.,The product has an endorsement.,
Enemy,Enemy,Eh-neh-mee,Sino ang enemy mo?,Who's your enemy?,
Enerhiya, Energy, e-ner-hi-ya, Kailangan natin ng sapat na enerhiya., We need enough energy.,
Engganyo,Entice,Eng-gan-yoh,Engganyo mo ang bata.,Entice the child.,
Enggrandeng,Grand,Eng-gran-deng,Enggrandeng ang bahay.,The house is grand.,
Engine,Engine,En-jin,Nasa kotse ang engine.,The engine is in the car.,
Engineer,Engineer,En-ji-neer,Engineer ang tito ko.,My uncle is an engineer.,
Engkanto,Enchanted being,Eng-kan-toh,Nasa gubat ang engkanto.,The enchanted being is in the forest.,
Englis,English,Eng-lis,Nagsalita siya ng Englis.,He spoke English.,
Enjoy,Enjoy,En-joy,Nag-enjoy kami sa party.,We enjoyed the party.,
Enoh,Hiccup,Eh-noh,Nag-enoh siya kanina.,He hiccuped earlier.,
Ensalada,Salad,En-sah-lah-dah,Gusto ko ng ensalada.,I want salad.,
Ensaladang talong,Eggplant salad,En-sah-lah-dang tah-long,Ginamit niya ang ensaladang talong.,He used eggplant salad.,
Ensayo, Practice, en-sa-yo, Nag-eensayo sila para sa kompetisyon., They are practicing for the competition.,
Entablado,Stage,En-tah-blah-doh,Nasa entablado ang dula.,The play is on the stage.,
Enteng,Light (weight),En-teng,Enteng ang bag ko.,My bag is light.,
Entomolohiya,Entomology,En-toh-mo-loh-hee-yah,Aralin mo ang entomolohiya.,Study entomology.,
Entrada,Entrance (variant),En-trah-dah,Nasa entrada ang tiket.,The ticket is at the entrance.,
Entrance,Entrance,En-trans,Nasa entrance ang guwardiya.,The guard is at the entrance.,
Entrega,Delivery,En-treh-gah,Nasa pintuan ang entrega.,The delivery is at the door.,
Entrepreneur,Entrepreneur,En-tre-pre-noor,Entrepreneur ang nanay ko.,My mom is an entrepreneur.,
Envelope,Envelope,En-ve-lop,Nasa envelope ang sulat.,The letter is in the envelope.,
Epekto, Effect, e-pek-to, May epekto ang gamot na ito., This medicine has an effect.,
Epiko, Epic, e-pi-ko, Binasa namin ang isang epiko sa klase., We read an epic in class.,
Episode,Episode,Eh-pee-sod,Nasa TV ang episode.,The episode is on TV.,
Epok, Era, e-pok, Ang epok na ito ay puno ng pagbabago., This era is full of changes.,
Equal,Equal,Ee-kwal,Equal ang puntos natin.,Our points are equal.,
Eraser,Eraser,Eh-rey-ser,Nasa mesa ang eraser.,The eraser is on the table.,
Ermitanyo, Hermit, er-mi-tan-yo, Nakatira ang ermitanyo sa bundok., The hermit lives in the mountains.,
Eroplano, Airplane, e-ro-pla-no, Lumipad ang eroplano sa himpapawid., The airplane flew in the sky.,1
Error,Error,Eh-ror,May error ang sagot.,There's an error in the answer.,
Eskalera,Staircase,Es-kah-leh-rah,Nasa eskalera ang bata.,The child is on the staircase.,
Eskandalo, Scandal, es-kan-da-lo, Malaking eskandalo ang nangyari kahapon., A big scandal happened yesterday.,
Eskandaloso,Scandalous,Es-kan-dah-loh-soh,Eskandaloso ang balita.,The news is scandalous.,
Eskina,Corner (street),Es-kee-nah,Nasa eskina ang tindahan.,The store is at the corner.,
Eskoba,Broom,Es-ko-bah,Gamitin mo ang eskoba.,Use the broom.,
Eskolar,Scholar,Es-ko-lar,Eskolar ang kapatid ko.,My sibling is a scholar.,
Eskriba,Scribe,Es-kree-bah,Eskriba ang lolo ko noon.,My grandpa was a scribe back then.,
Eskrim,Fence,Es-kreem,Mataas ang eskrim sa bahay.,The fence at the house is high.,
Eskrin,Screen,Es-kreen,Nasa eskrin ang pelikula.,The movie is on the screen.,
Eskultura, Sculpture, es-kul-tu-ra, Ang eskultura ay gawa sa kahoy., The sculpture is made of wood.,
Eskuwela,School,Es-kweh-lah,Nasa eskuwela ang anak ko.,My child is at school.,
Eskwela, School, es-kwe-la, Araw-araw siyang pumapasok sa eskwela., He goes to school every day.,
Espada, Sword, es-pa-da, Gamit niya ang espada sa laban., He uses a sword in the battle.,
Espasyo,Space,Es-pas-yoh,Malaki ang espasyo dito.,The space here is big.,
Espeho,Mirror,Es-peh-hoh,Nasa banyo ang espeho.,The mirror is in the bathroom.,
Espesyal, Special, es-pe-syal, Espesyal ang araw na ito para sa akin., This day is special for me.,
Espiritu,Spirit,Es-pee-ree-too,Malakas ang espiritu niya.,His spirit is strong.,
Espiritwal,Spiritual,Es-pee-reet-wal,Espiritwal ang dasal.,The prayer is spiritual.,
Espongha,Sponge,Es-pon-hah,Gamitin mo ang espongha.,Use the sponge.,
Estadyum,Stadium,Es-tad-yum,Nasa estadyum ang laro.,The game is in the stadium.,
Estante,Shelf,Es-tan-teh,Nasa estante ang libro.,The book is on the shelf.,
Estasyon,Station,Es-tas-yon,Nasa estasyon ang tren.,The train is at the station.,
Estasyon-wagon,Station wagon,Es-tas-yon-wah-gon,Nasa garahe ang estasyon-wagon.,The station wagon is in the garage.,
Estimasyon,Estimation,Es-tee-mah-syon,Ano ang estimasyon mo?,What's your estimation?,
Estino,Stubborn,Es-tee-noh,Estino ang kapatid ko.,My sibling is stubborn.,
Estopado,Stewed meat,Es-toh-pah-doh,Gusto ko ng estopado.,I want stewed meat.,
Estorya,Story,Es-tor-yah,Maganda ang estorya niya.,His story is nice.,
Estranghero, Stranger, es-trang-he-ro, May estrangherong dumaan sa kalsada., A stranger passed by the street.,
Estratehiya, Strategy, es-tra-te-hi-ya, Kailangan ng matibay na estratehiya., A strong strategy is needed.,
Estrikto,Strict,Es-treek-toh,Estrikto ang guro ko.,My teacher is strict.,
Estudiante,Student (variant),Es-too-dee-yan-teh,Estudiante si Juan.,Juan is a student.,
Estudyante, Student, es-tu-dyan-te, Masipag mag-aral ang estudyante., The student studies diligently.,
Etika, Ethics, e-ti-ka, Mahalaga ang etika sa trabaho., Ethics are important in work.,
Etyolohiya, Etymology, e-tyo-lo-hi-ya, Pinag-aralan namin ang etyolohiya ng salita., We studied the etymology of the word.,
Fabrika, Factory, fab-ri-ka, Nagtatrabaho siya sa isang fabrika., He works in a factory.,
Familia, Family, fa-mi-lya, Mahalaga ang familia sa buhay., Family is important in life.,
Famous, Famous, fa-mos, Sikat siya dahil famous ang kanyang kanta., He is popular because his song is famous.,
Fan, Fan, fan, Binuksan niya ang fan dahil mainit., He turned on the fan because it's hot.,
Fantasia, Fantasy, fan-ta-sya, Gusto niyang mabuhay sa isang fantasia., He wants to live in a fantasy.,
Farm, Farm, farm, May malaking farm ang kanyang pamilya., His family owns a large farm.,
Farmacia, Pharmacy, far-ma-sya, Bumili siya ng gamot sa farmacia., He bought medicine at the pharmacy.,
Farmer, Farmer, far-mer, Masipag ang farmer sa bukid., The farmer is hardworking in the field.,
Federasyon,Federation,fe-de-ra-syon,Kasapi siya ng isang federasyon.,He is a member of a federation.,
Felicidad, Happiness, fe-li-si-dad, Ang tunay na felicidad ay nasa pamilya., True happiness is with family.,
Feria, Fair, fe-ri-a, Pumunta kami sa feria kagabi., We went to the fair last night.,
Feroz, Fierce, fe-roz, Feroz ang leon sa gubat., The lion in the jungle is fierce.,
Fertilizer,Fertilizer,fer-ti-li-zer,Gumagamit sila ng fertilizer sa bukid.,They use fertilizer on the farm.,
Fiesta, Festival, fies-ta, Masaya ang fiesta sa aming bayan., The festival in our town is fun.,
File,File,fi-le,Itago mo ang file sa isang ligtas na lugar.,Keep the file in a safe place.,
Filipino, Filipino, fi-li-pi-no, Ako ay isang Filipino., I am a Filipino.,
Fin, End, fin, Malapit na ang fin ng pelikula., The movie is about to end.,
Final, Final, fi-nal, Malapit na ang final exam., The final exam is near.,
Firma, Signature, fir-ma, Ilagay mo ang firma mo sa papel., Put your signature on the paper.,
Flor, Flower, flor, Maganda ang flor sa hardin., The flower in the garden is beautiful.,
Florera,Flower Vase,flo-re-ra,Nasa mesa ang florera na may bulaklak.,The flower vase with flowers is on the table.,
Fondo, Fund, fon-do, May sapat siyang fondo para sa negosyo., He has enough funds for the business.,
Forma, Form, for-ma, Punan mo ang forma bago ipasa., Fill out the form before submitting it.,
Fortaleza, Strength, for-ta-le-za, Malakas ang kanyang fortaleza., His strength is great.,
Franco, Frank, fran-ko, Maging franco ka sa pagsasalita., Be frank in speaking.,
Frasco, Bottle, fras-ko, May laman na tubig ang frasco., The bottle contains water.,
Fresco, Fresh, fres-ko, Masarap ang fresco na prutas., The fresh fruit is delicious.,
Frutas,Fruits,fru-tas,Masustansya ang pagkain ng frutas.,Eating fruits is nutritious.,
Fuego, Fire, fue-go, May fuego sa bundok., There is a fire in the mountain.,
Fuente, Fountain, fuen-te, Maganda ang fuente sa plaza., The fountain in the plaza is beautiful.,
Fuerte, Strong, fuer-te, Fuerte ang kanyang pangangatawan., His body is strong.,
Fundamento, Foundation, fun-da-men-to, Malakas ang fundamento ng bahay nila., The foundation of their house is strong.,
Futbol, Football, fut-bol, Mahilig siya sa futbol., He loves football.,
Futuro, Future, fu-tu-ro, Mahalaga ang edukasyon para sa futuro., Education is important for the future.,
Gabi, Night, ga-bi, Tahimik ang gabi sa probinsya., The night is quiet in the province.,
Galing, Skill, ga-ling, Ipinakita niya ang kanyang galing sa sayaw., He showed his skill in dancing.,
Galit,Angry,ga-lit,,,1
Gamit, Thing, ga-mit, Ingatan ang gamit mo., Take care of your things.,
Gamitin, Use, ga-mi-tin, Dapat gamitin nang tama ang mga kasangkapan., Tools should be used properly.,
Gatas, Milk, ga-tas, Umiinom siya ng gatas tuwing umaga., He drinks milk every morning.,1
Gatasan, Dairy farm, ga-ta-san, Pumunta kami sa gatasan kahapon., We went to the dairy farm yesterday.,
Gawa, Work, ga-wa, Maraming gawa sa opisina ngayon., There is a lot of work in the office today.,
Ginto, Gold, gin-to, Ang singsing niya ay gawa sa ginto., His ring is made of gold.,
Gising, Awake, gi-sing, Gising na siya bago sumikat ang araw., He is awake before the sun rises.,1
Gisingin, Wake up, gi-si-ngin, Gisingin mo ako ng maaga bukas., Wake me up early tomorrow.,
Gitna, Middle, git-na, Nasa gitna ng mesa ang libro., The book is in the middle of the table.,
Guhit, Line/Drawing, gu-hit, Gumuhit siya ng magandang larawan., He drew a beautiful picture.,
Gulay, Vegetables, gu-lay,,,1
Gumagalaw, Moving, gu-ma-ga-law, Gumagalaw ang ulap sa langit., The clouds are moving in the sky.,
Gumagana, Working, gu-ma-ga-na, Gumagana nang maayos ang telepono ko., My phone is working properly.,
Gumamit, Use, gu-ma-mit, Gumamit siya ng lapis sa pagsusulat., He used a pencil for writing.,
Gumawa, Create, gu-ma-wa, Gumawa siya ng magandang kanta., He created a beautiful song.,
Gumising, Wake up, gu-mi-sing, Gumising siya ng maaga., He woke up early.,
Gumuhit, Draw, gu-mu-hit, Gumuhit siya ng magandang tanawin., He drew a beautiful scenery.,
Gumulong, Roll, gu-mu-long, Gumulong ang bola sa sahig., The ball rolled on the floor.,
Gupit, Haircut, gu-pit, Nagpagupit siya kahapon., He got a haircut yesterday.,
Gupitin, Cut, gu-pi-tin, Gupitin mo ang papel sa tamang sukat., Cut the paper to the correct size.,
Guro, Teacher, gu-ro,,,1
Gusali, Building, gu-sa-li, Malaki ang gusali sa lungsod., The building in the city is big.,
Gutom,Hunger,gu-tom, Nakaramdam siya ng gutom pagkatapos magtrabaho., He felt hungry after working.,1
Habang, While, ha-bang, Habang kumakain -  nanonood kami ng TV., While eating - we watched TV.,
Hagdan, Stairs, hag-dan, Umakyat siya sa hagdan., He climbed the stairs.,
Hagis, Throw, ha-gis, Huwag mong ihagis ang bola sa loob ng bahay., Don't throw the ball inside the house.,
Halaman, Plant, ha-la-man, Maraming halaman sa hardin., There are many plants in the garden.,
Halik, Kiss, ha-lik, Binigyan siya ng halik ng kanyang ina., His mother gave him a kiss.,
Hamon, Challenge, ha-mon, Tinanggap niya ang hamon ng laro., He accepted the challenge of the game.,
Hampas, Hit, ham-pas, Huwag mong hampasin ang mesa., Don't hit the table.,
Handa, Ready, han-da, Handa na akong umalis., I am ready to leave.,
Hangin, Wind, ha-ngin, Malakas ang hangin sa tabing-dagat., The wind is strong by the shore.,
Hapon, Afternoon, ha-pon, Magkita tayo mamayang hapon., Let's meet this afternoon.,
Hapunan, Dinner, ha-pu-nan, Masarap ang hapunan namin., Our dinner was delicious.,
Harap, Front, ha-rap,,,1
Hati, Half, ha-ti, Hinati niya ang tinapay sa dalawa., He divided the bread into two.,
Hatinggabi, Midnight, ha-ting-ga-bi, Natulog siya bago maghatinggabi., He slept before midnight.,
Hawak, Hold, ha-wak, Hawakan mong mabuti ang bag mo., Hold your bag tightly.,1
Higa, Lie down, hi-ga, Higa ka muna at magpahinga., Lie down and rest for a while.,1
Himig, Tune, hi-mig, Maganda ang himig ng awitin., The tune of the song is beautiful.,
Hina, Weakness, hi-na, Ramdam niya ang hina ng kanyang katawan., He feels the weakness of his body.,
Hinang, Welding, hi-nang, Hinangin ang bakal upang pagdugtungin., The metal was welded together.,
Hindi, No, hin-di, Hindi ako makakapunta ngayon., I can't come today.,1
Hinila, Pulled, hi-ni-la, Hinila niya ang lubid nang malakas., He pulled the rope hard.,
Hinog, Ripe, hi-nog, Hinog na ang mangga., The mango is ripe.,
Hinto, Stop, hin-to, Hinto ka sa tawiran., Stop at the pedestrian lane.,
Hubog, Shape, hu-bog, Maganda ang hubog ng buwan ngayong gabi., The shape of the moon is beautiful tonight.,
Hugas, Wash, hu-gas, Hugasan mo muna ang kamay mo bago kumain., Wash your hands before eating.,
Huli,Late,hoo-li,Nahuli siya sa klase kanina.,He was late for class earlier.,1
Hulog,Fall,hoo-log,Nahulog ang kanyang cellphone sa sahig.,His cellphone fell on the floor.,
Husay, Skill, hu-say, Ipinakita niya ang kanyang husay sa sayaw., He showed his skill in dancing.,
Huwag, Don't, hu-wag, Huwag mong kalimutan ang susi., Don't forget the key.,
Huwaran, Model, hu-wa-ran, Siya ay isang huwarang mag-aaral., He is an exemplary student.,
Huwebes, Thursday, hwe-bes,,,1
Ibaba, Lower / Down, i-ba-ba, Ibaba mo ang boses mo., Lower your voice.,1
Ibabaw, Top, i-ba-baw, Nasa ibabaw ng lamesa ang libro., The book is on top of the table.,
Ibenta, Sell, i-ben-ta, Ibenta mo ang lumang sapatos mo., Sell your old shoes.,
Ibon, Bird, i-bon, Lumilipad ang ibon sa langit., The bird is flying in the sky.,
Iboto, Vote, i-bo-to, Iboto mo ang tamang kandidato., Vote for the right candidate.,
Igalang, Respect, i-ga-lang, Dapat igalang natin ang matatanda., We should respect the elderly.,
Igop,Sip,ee-gop,Igop mo ang sopas habang mainit pa.,Sip the soup while it's still hot.,
Ihanda, Prepare, i-han-da, Ihanda mo ang pagkain bago sila dumating., Prepare the food before they arrive.,
Ihi, Urinate, i-hi, Pumunta siya sa banyo para umihi., He went to the bathroom to urinate.,
Ihip, Blow (of wind), i-hip, Malakas ang ihip ng hangin., The wind is blowing strongly.,
Ihiwalay, Separate, i-hi-wa-lay, Ihiwalay ang puti sa de-kulay na damit., Separate the whites from the colored clothes.,
Iikot, Will turn, i-i-kot, Iikot ang mundo kahit anong mangyari., The world will turn no matter what.,
Iinit, Will get hot, i-i-nit, Iinit ang tubig kapag pinakuluan., The water will get hot when boiled.,
Iisa, Only one, i-i-sa, Iisa lang ang natitirang tinapay., Only one piece of bread is left.,
Ikaw, You, i-kaw, Ikaw ba ang nagluto nito?, Did you cook this?,1
Ikot,Turn,ee-kot,Ikot tayo sa paligid ng parke.,Let's turn around the park.,
Ilag, Dodge, i-lag, Kailangan mong ilag kapag may paparating na bola., You need to dodge when a ball is coming.,
Ilagay, Put, i-la-gay, Ilagay mo ang aklat sa mesa., Put the book on the table.,
Ilan, How many, i-lan, Ilan ang gusto mong bilhin?, How many do you want to buy?,
Ilang, Few, i-lang, Ilang beses mo nang sinabi ito?, How many times have you said this?,
Ilaw, Light, i-law, Naka-off ang ilaw sa kwarto., The light in the room is off.,1
Iligpit, Tidy up, i-lig-pit, Iligpit mo ang iyong laruan., Tidy up your toys.,
Ilog, River, i-log, Malawak ang ilog sa aming bayan., The river in our town is wide.,
Ilog-ilog, Stream, i-log i-log, Malinaw ang tubig sa ilog-ilog., The water in the stream is clear.,
Imahe,Image,ee-ma-he,Malinaw ang imahe sa camera.,The image on the camera is clear.,
Imbak, Store, im-bak, Nag-imbak kami ng pagkain para sa tag-ulan., We stored food for the rainy season.,
Imbitahan, Invite, im-bi-ta-han, Imbitahan mo sila sa iyong kaarawan., Invite them to your birthday.,
